semantic_category,tag_clean,n_uses,n_movies,n_users,top_user_share,pct_movies,idf
emotional_cognitive_experience,thought-provoking,6003,360,2035,0.01082791937364651,0.016717748676511563,5.08855683915533
emotional_cognitive_experience,emotional,2289,346,965,0.019222367846221056,0.016067614005758336,5.128110017541352
emotional_cognitive_experience,intense,1759,229,854,0.013644115974985787,0.010634345685892077,5.539355488565016
emotional_cognitive_experience,moving,265,134,168,0.15471698113207547,0.006222717562923748,6.0721600190497815
emotional_cognitive_experience,thought provoking,487,88,346,0.03696098562628337,0.004086560787591715,6.4887984277560715
emotional_cognitive_experience,intellectual,676,77,506,0.026627218934911243,0.003575740689142751,6.6207259707986195
emotional_cognitive_experience,complex characters,436,63,316,0.052752293577981654,0.0029256060183895237,6.818551714128539
emotional_cognitive_experience,complex,341,51,247,0.026392961876832845,0.0023683477291724713,7.026191078906783
emotional_cognitive_experience,unsettling,192,50,144,0.06770833333333333,0.0023219095384043836,7.045609164763885
emotional_cognitive_experience,powerful,88,48,64,0.09090909090909091,0.0022290331568682086,7.085614499377584
emotional_cognitive_experience,mind bending,267,35,219,0.018726591760299626,0.0016253366768830687,7.393915859032101
emotional_cognitive_experience,ambiguous,110,34,85,0.09090909090909091,0.001578898486114981,7.422086735998797
emotional_cognitive_experience,complex relationships,110,34,72,0.16363636363636364,0.001578898486114981,7.422086735998797
emotional_cognitive_experience,morally complex,152,27,117,0.046052631578947366,0.0012538311507383673,7.645230287313007
emotional_cognitive_experience,immersive,188,23,145,0.0425531914893617,0.0010680783876660166,7.799380967140265
emotional_cognitive_experience,provocative,88,21,78,0.056818181818181816,0.0009752020061298412,7.886392344129895
emotional_cognitive_experience,memorable characters,52,21,32,0.19230769230769232,0.0009752020061298412,7.886392344129895
emotional_cognitive_experience,god complex,42,18,28,0.30952380952380953,0.0008358874338255781,8.032995818321771
emotional_cognitive_experience,military industrial complex,29,18,13,0.3448275862068966,0.0008358874338255781,8.032995818321771
emotional_cognitive_experience,oedipus complex,18,17,10,0.3888888888888889,0.0007894492430574905,8.087063039592046
humor,satire,3573,764,1229,0.12594458438287154,0.035478777746818985,4.3375589636616745
humor,dark comedy,6153,742,1958,0.06273362587355762,0.03445713754992105,4.366738752770452
humor,black comedy,4071,739,1345,0.11667894866126259,0.03431782297761679,4.370784611289995
humor,quirky,4954,515,1459,0.02846184901090028,0.023915668245565153,4.731328032006648
humor,parody,2006,407,723,0.08823529411764706,0.018900343642611683,4.966167623084049
humor,witty,2144,335,918,0.03125,0.015556793907309371,5.160323637525007
humor,spoof,625,277,212,0.3392,0.012863378842760287,5.349813683797574
humor,slapstick,516,221,222,0.14728682170542637,0.010262840159747376,5.574757415615932
humor,absurd,895,207,501,0.021229050279329607,0.009612705488994148,5.639896717786893
humor,satirical,1160,188,573,0.08189655172413793,0.008730379864400483,5.735687782428569
humor,screwball comedy,331,102,135,0.2084592145015106,0.004736695458344943,6.342705809258575
humor,deadpan,402,87,222,0.13432835820895522,0.004040122596823628,6.500097983010004
humor,social satire,287,84,174,0.21951219512195122,0.003900808024519365,6.5347835409978945
humor,irony,110,84,46,0.5454545454545454,0.003900808024519365,6.5347835409978945
humor,ironic,141,47,99,0.07801418439716312,0.002182594966100121,7.10623378658032
humor,screwball,99,39,58,0.10101010101010101,0.0018110894399554194,7.2885553433742745
humor,dry humor,55,32,41,0.18181818181818182,0.0014860221045788055,7.4809272360217305
humor,offbeat,46,26,35,0.10869565217391304,0.0012073929599702795,7.681597931483882
humor,witty dialogue,84,22,76,0.047619047619047616,0.0010216401968979288,7.8419405815590615
humor,quirky humor,32,14,29,0.09375,0.0006501346707532275,8.269384596386
intensity_darkness,serial killer,2763,785,828,0.18928700687658342,0.036453979752948826,4.310478005059005
intensity_darkness,tragedy,691,375,294,0.3227206946454414,0.01741432153803288,5.0478456540983165
